timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
385390135,0.9170556,-0.06062157,-0.12294702,0.37445712,1.6601784,-2.0906804,8.9724865,49.13251,-89.71187,1.2596215
385406802,0.91571295,-0.04826027,-0.13213807,0.3764047,1.9587989,-1.9532776,9.04109,56.46401,-92.07572,1.2852403
385423469,0.913936,-0.03587544,-0.14263806,0.37827015,2.0401218,-1.8443712,9.032795,53.00674,-100.74563,1.4409401
385440136,0.9121692,-0.02436983,-0.15285748,0.37945747,2.192575,-1.7941446,9.140546,47.54766,-96.517845,-1.9191606
385456803,0.91028744,-0.013419377,-0.1637176,0.37999082,2.4623375,-1.6754669,9.145554,41.689236,-99.100845,-5.2411103
385473470,0.90818435,-0.0016928504,-0.1746669,0.3803813,2.955479,-1.4795297,8.891392,46.13051,-101.92371,-6.44517
385490137,0.90582293,0.010673658,-0.18575008,0.38061514,3.1898623,-1.329862,9.00516,49.58565,-104.74145,-7.5178127
385506804,0.90310687,0.022249348,-0.19824237,0.38026702,3.3483703,-1.2125617,8.924759,40.256134,-111.94396,-9.09869
385523471,0.8999135,0.03237219,-0.21256772,0.37937182,3.66273,-1.1161468,8.969664,25.767826,-120.26308,-8.990832
385540138,0.89621294,0.041993618,-0.22750744,0.37852293,3.9615173,-1.0346345,8.674789,21.243412,-123.48874,-6.5105844
385556805,0.8923432,0.0518942,-0.24160157,0.37770277,4.3311386,-1.0195118,8.378529,25.254122,-119.2606,-6.5807347
385573472,0.88856196,0.0614429,-0.25458562,0.37665483,4.602314,-0.92760885,8.178963,25.569553,-111.46955,-8.016966
385590139,0.8850389,0.069385715,-0.26678836,0.3751211,4.811682,-0.80657595,8.042271,16.820084,-102.289116,-9.1767645
385606806,0.8812429,0.07669102,-0.27952513,0.3733568,5.1672745,-0.7405776,7.86542,11.272481,-104.50507,-8.448475
385623473,0.87734014,0.08440571,-0.29217535,0.37119213,5.4101067,-0.8337014,7.8944707,13.259698,-105.44648,-11.435456
385640140,0.8727795,0.09333294,-0.30670178,0.36807495,5.6666145,-0.73760056,7.8701925,14.255674,-121.73497,-16.848352
385656807,0.8675131,0.10257022,-0.32252172,0.36452731,5.971781,-0.57765317,7.502704,12.386449,-132.04773,-17.472075
385673474,0.8615068,0.1116838,-0.33883688,0.36127892,6.1750097,-0.54750717,7.2155075,11.587333,-136.12077,-13.214622
385690141,0.8546897,0.120604984,-0.3557035,0.35837856,6.3657846,-0.58437806,7.0922008,10.51322,-140.53166,-8.264606
385706808,0.8462872,0.13003749,-0.37554136,0.35476342,6.62595,-0.56964475,7.2395906,5.7583895,-163.72768,-7.3499284
385723475,0.83714324,0.13835365,-0.39617726,0.35084635,7.1652923,-0.56057334,6.4729905,-2.8046002,-167.8366,-3.7055142
385740142,0.82889843,0.14451793,-0.4142924,0.34699264,7.5061536,-0.5465924,5.850365,-9.797592,-145.62183,-2.0502582
385756809,0.8209656,0.15029557,-0.43072233,0.34337312,7.6834974,-0.5453681,5.446022,-7.621325,-133.96976,-2.03169
385773476,0.8128296,0.15733086,-0.44646904,0.3394416,7.9921684,-0.44778973,5.0659637,0.3750642,-134.0043,-7.7455926
385790143,0.8056813,0.16316824,-0.45966008,0.33610556,8.214464,-0.35913602,4.5025673,0.40561467,-113.24373,-5.808378
385806810,0.79933494,0.16854931,-0.470366,0.3337824,8.428579,-0.39795682,4.3749666,5.9221582,-94.745735,-3.3963776
385823477,0.79335535,0.17382821,-0.47970384,0.3320474,8.618949,-0.52343774,4.3544807,9.981151,-85.120056,-2.2579076
385840144,0.78823304,0.17873563,-0.4872591,0.3306373,8.569403,-0.52759486,4.115889,12.074043,-71.328896,-3.3477185
385856811,0.78349227,0.18359339,-0.49412128,0.32905623,8.783392,-0.45997003,4.0666084,12.339867,-66.388985,-5.826804
385873478,0.7795949,0.18750644,-0.4997724,0.3275683,8.809338,-0.42616108,3.8883448,9.241669,-54.741955,-5.5532527
385890145,0.7763852,0.19033834,-0.50458616,0.32617524,8.855549,-0.42840776,3.6031487,4.777412,-45.330204,-3.9564102
385906812,0.7737363,0.19244578,-0.5086428,0.32492974,8.741695,-0.42666274,3.7464309,2.3884926,-37.52177,-2.903432
385923479,0.7706191,0.19467464,-0.51375085,0.32296762,8.940465,-0.4609726,3.7635643,-1.2006171,-45.971424,-4.7028728
385940146,0.7674869,0.19749674,-0.51853937,0.3210546,9.067115,-0.40162933,3.4765985,2.8474936,-45.581093,-6.9327173
385956813,0.7644918,0.2005507,-0.52263093,0.31966966,9.081107,-0.34048393,3.248533,7.3079705,-41.20626,-6.222312
385973480,0.76206994,0.20315996,-0.52570987,0.3187549,8.921662,-0.28280514,2.9160547,8.096803,-32.195072,-4.8087263
385990147,0.7599735,0.20539983,-0.52830166,0.31803882,8.80354,-0.1878687,2.723869,7.4960713,-27.375242,-3.8251271
386006814,0.75813353,0.20775814,-0.53034794,0.31749183,8.947799,-0.27223036,2.778,9.563184,-23.60915,-4.701196
386023481,0.7564365,0.21012811,-0.532275,0.31675437,9.23773,-0.38500586,3.0950139,8.988445,-22.759789,-6.2182903
386040148,0.7548663,0.21231945,-0.5344933,0.31530058,9.279739,-0.26876685,3.1390526,4.6241984,-24.45408,-9.145037
386056815,0.75328416,0.21449229,-0.5367765,0.3137314,9.29468,-0.12967132,2.8897507,3.9815872,-24.960663,-9.555751
386073482,0.75202155,0.21618746,-0.5385543,0.31254774,9.201716,-0.068516225,2.7455912,3.5499704,-19.562675,-7.230271
386090149,0.75114167,0.21724856,-0.5396975,0.3119549,9.232817,-0.05123623,2.6036384,3.2562537,-12.620102,-3.591876
386106816,0.7506535,0.21768358,-0.5403892,0.31162974,9.183593,-0.11126998,2.8270872,1.4020457,-7.0886097,-1.3992732
386123483,0.75024956,0.21783426,-0.5410817,0.31129494,9.245874,-0.22742876,2.901908,-0.22842687,-6.18256,-0.57127845
386140150,0.75022066,0.217814,-0.54124457,0.3110956,9.398263,-0.23152988,2.9391673,-0.032617774,-1.4854213,-0.8322591
386156817,0.7511572,0.21686837,-0.5399172,0.31180194,9.487944,-0.23339413,2.9268084,0.30835792,13.131249,2.9861932
386173484,0.7531711,0.2147768,-0.5371812,0.3131149,9.313741,-0.2551787,2.6425316,-1.9425368,27.768108,5.963941
386190151,0.7567954,0.21145153,-0.5326816,0.31432414,9.022534,-0.1707513,2.5458593,-7.290543,45.355278,3.9140148
386206818,0.7602987,0.2076711,-0.52830815,0.31576765,9.077439,-0.2126706,2.936489,-8.893655,45.584507,7.2474694
386223485,0.763765,0.20412323,-0.5238821,0.31708735,9.193568,-0.47154304,3.032079,-7.958322,45.04659,5.7628427
386240152,0.7691905,0.2003982,-0.5166188,0.31826386,9.090179,-0.41456798,2.7831688,-5.9624243,67.190636,-2.6013956
386256819,0.7753,0.19647244,-0.50781155,0.32005686,8.865479,-0.03405582,3.420785,-2.390742,79.080925,-2.2483962
386273486,0.78173935,0.19176267,-0.4985653,0.3217817,8.866196,-0.15565251,3.4853308,-6.2865767,84.20846,-1.1889713
386290153,0.7888883,0.18655546,-0.48793295,0.3236885,8.549414,-0.12949672,3.8943467,-6.2012906,95.43579,-1.8976929
386306820,0.79388285,0.18284035,-0.4803493,0.32493708,8.436245,-0.19581445,4.523871,-4.3398986,67.508736,-1.7658193
386323487,0.79702836,0.18097931,-0.47524178,0.32578802,8.43889,-0.20127529,4.4976387,1.2599674,43.242737,-2.8130996
386340154,0.79931223,0.18070754,-0.4714674,0.32582703,8.215221,-0.4120216,4.238379,5.401089,28.552135,-8.865326
386356821,0.80233634,0.18102968,-0.46652102,0.32533512,8.615366,-0.22156517,4.315593,8.651154,35.404564,-16.82181
386373488,0.80663884,0.18072289,-0.45908773,0.32544068,8.369769,-0.14662099,4.27379,11.072626,55.378654,-17.460789
386390155,0.8112429,0.17925745,-0.45064256,0.32660878,8.461246,0.100162566,4.7783394,9.89248,65.859024,-9.83971
386406822,0.81588835,0.17720844,-0.44173563,0.32831854,8.196824,-0.11191674,4.8422627,9.301567,70.54344,-5.66818
386423489,0.82089734,0.17415302,-0.43252996,0.32972124,8.091983,0.004851438,5.070861,2.9566674,75.223946,-5.5147038
386440156,0.825606,0.17061976,-0.42381388,0.33112782,7.9217525,0.06390143,5.153078,-0.47890234,72.65652,-2.8015692
386456823,0.830776,0.16579299,-0.41414228,0.33288166,7.86868,-0.09399636,5.2788644,-5.174044,82.78034,0.7721007
386473490,0.8375196,0.15921302,-0.4008358,0.33547452,7.514059,-0.071512096,5.606449,-6.273704,112.997,2.8151612
386490157,0.8441681,0.15196995,-0.3869254,0.33848837,7.208195,0.024316289,6.040357,-7.4329424,118.204605,6.631219
386506824,0.85053813,0.14365438,-0.37209734,0.3427707,6.988126,-0.11120411,6.314878,-7.8613753,126.61195,16.53798
386523491,0.85640043,0.13599087,-0.3576774,0.34662917,6.7617044,-0.5137588,6.6756954,-5.5928774,120.96884,13.996364
386540158,0.8632471,0.12821227,-0.3401508,0.3502335,6.5524144,-0.35518366,6.520546,-0.41154847,141.72092,7.5338764
386556825,0.86957574,0.12129016,-0.32212996,0.35406074,6.206623,-0.19117093,7.2742844,6.840069,141.5775,7.669621
386573492,0.874769,0.1152641,-0.30571628,0.35781443,6.078167,-0.19742844,7.6381764,9.068168,127.207054,9.354354
386590159,0.8803931,0.107041694,-0.28702414,0.36203265,5.860005,-0.27450547,8.028527,2.093584,147.59027,13.899122
386606826,0.8863317,0.09601857,-0.2667142,0.36614248,5.368859,-0.30954313,8.493006,-11.281648,164.8981,16.798807
386623493,0.89214504,0.081999615,-0.24593405,0.3699597,4.9901886,-0.32824215,8.651814,-28.813047,174.88193,20.519026
386640160,0.89793086,0.067250185,-0.22209,0.3739971,4.4862432,-0.5815195,8.130551,-25.117655,195.61577,21.447737
386656827,0.9028574,0.055182565,-0.19417466,0.3796045,3.9432423,-0.37985906,8.906488,4.7070694,213.27562,27.38291
386673494,0.90715206,0.040761456,-0.16142239,0.38646677,3.0899107,-0.48511386,9.053228,4.630967,249.09424,38.13233
386690161,0.91064596,0.028927095,-0.12677325,0.3921936,2.5469918,-0.48691335,8.9307,24.770666,252.84377,29.78265
386706828,0.913596,0.019440819,-0.09134723,0.39575273,1.9559547,-0.33665863,9.077217,39.783054,250.46867,15.46796
386723495,0.9158651,0.00865552,-0.056341704,0.39741892,1.431653,-0.12208128,9.311881,29.374792,250.68027,6.3044014
386740162,0.91695434,-0.003192165,-0.025887392,0.3981387,1.0060284,-0.1891868,9.376502,9.943369,224.39522,4.2712226
